Level;Code;Code;Description;Self-explanatory texts in English;Self-explanatory texts in French;Self-explanatory texts in German
1;500011000090;XI; SECCIÓN XI - MATERIAS TEXTILES Y SUS MANUFACTURAS;TEXTILES AND TEXTILE ARTICLES;MATIÈRES TEXTILES ET OUVRAGES EN CES MATIÈRES;SPINNSTOFFE UND WAREN DARAUS
2;500021000090;50; CAPÍTULO 50 - SEDA;SILK;SOIE;SEIDE
3;500100000080;5001.00; Capullos de seda aptos para el devanado;Silkworm cocoons suitable for reeling;Cocons de vers à soie propres au dévidage;Seidenraupenkokons, zum Abhaspeln geeignet
3;500200000080;5002.00; Seda cruda (sin torcer);"Raw silk ""non-thrown""";Soie grège [non-moulinée];Grège, weder gedreht noch gezwirnt
3;500300000080;5003.00; Desperdicios de seda, incluidos los capullos no aptos para el devanado, desperdicios de hilados e hilachas;Silk waste, incl. cocoons unsuitable for reeling, yarn waste and garnetted stock;Déchets de soie, y.c. les cocons non-dévidables, les déchets de fils et les effilochés;"Abfälle von Seide ""einschl. nichtabhaspelbare Kokons, Garnabfälle und Reißspinnstoff"""
3;500400000080;5004.00; Hilados de seda (excepto los hilados de desperdicios de seda) sin acondicionar para la venta al por menor;Silk yarn (excl. that spun from silk waste and that put up for retail sale);Fils de soie (sauf les fils de déchets de soie et les fils conditionnés pour la vente au détail);Seidengarne (ausg. Schappeseidengarne oder Bourretteseidengarne sowie in Aufmachungen für den Einzelverkauf)
3;500500000080;5005.00; Hilados de desperdicios de seda sin acondicionar para la venta al por menor;Yarn spun from silk waste (excl. that put up for retail sale);Fils de déchets de soie, non-conditionnés pour la vente au détail;Schappeseidengarne oder Bourretteseidengarne (ausg. in Aufmachungen für den Einzelverkauf)
3;500600000080;5006.00;" Hilados de seda o de desperdicios de seda, acondicionados para la venta al por menor; «pelo de Mesina» («crin de Florencia»)";"Silk yarn and yarn spun from silk waste, put up for retail sale; silkworm gut";"Fils de soie ou de déchets de soie, conditionnés pour la vente au détail; poil de Messine [crin de Florence]";"Seidengarne, Schappeseidengarne oder Bourretteseidengarne, in Aufmachungen für den Einzelverkauf; Messinahaar"
3;500700000080;50.07; Tejidos de seda o de desperdicios de seda;Woven fabrics of silk or of silk waste;Tissus de soie ou de déchets de soie;Gewebe aus Seide, Schappeseide oder Bourretteseide
4;500710000080;5007.10;- Tejidos de borrilla;Woven fabrics of noil silk;Tissus de bourrette;Gewebe aus Bourretteseide
4;500720000080;5007.20;- Los demás tejidos con un contenido de seda o de desperdicios de seda, distintos de la borrilla, superior o igual al 85 % en peso;Woven fabrics containing >= 85% silk or schappe by weight;Tissus contenant >= 85% en poids de soie ou de déchets de soie (autres que la bourrette);Gewebe, mit einem Anteil an Seide oder Schappeseide von >= 85 GHT
4;500790000080;5007.90;- Los demás tejidos;Woven fabrics containing predominantly, but < 85% silk or silk waste by weight;Tissus de soie ou de déchets de soie (autres que la bourrette), contenant en prédominance, mais < 85% de soie ou de déchets de soie;Gewebe aus überwiegend, jedoch < 85 GHT Seide oder Schappeseide
2;510021000090;51;" CAPÍTULO 51 - LANA Y PELO FINO U ORDINARIO; HILADOS Y TEJIDOS DE CRIN";"WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC";"LAINE, POILS FINS OU GROSSIERS; FILS ET TISSUS DE CRIN";"WOLLE, FEINE UND GROBE TIERHAARE; GARNE UND GEWEBE AUS ROSSHAAR"
3;510100000080;51.01; Lana sin cardar ni peinar;Wool, neither carded nor combed;Laines, non-cardées ni peignées;Wolle, weder gekrempelt noch gekämmt (ausg. Baumwolle)
4;510111000010;;- Lana sucia, incluida la lavada en vivo;;;
5;510111000080;5101.11;-- Lana esquilada;Greasy shorn wool, incl. fleece-washed wool, neither carded nor combed;Laines de tonte en suint, y.c. les laines lavées à dos, non-cardées ni peignées;Schweißschurwolle, einschl. auf dem Rücken gewaschene Wolle, weder gekrempelt noch gekämmt
5;510119000080;5101.19;-- Las demás;Greasy wool, incl. fleece-washed wool, neither carded nor combed (excl. shorn wool);Laines en suint, y.c. les laines lavées à dos, non-cardées ni peignées (à l'excl. des laines de tonte);Schweißwolle, einschl. auf dem Rücken der Tiere gewaschene Wolle, weder gekrempelt noch gekämmt (ausg. Schurwolle)
4;510121000010;;- Desgrasada, sin carbonizar;;;
5;510121000080;5101.21;-- Lana esquilada;Shorn wool, degreased, non-carbonised, neither carded nor combed;Laines de tonte, dégraissées, non-carbonisées ni cardées ni peignées;Schurwolle, entschweißt, nichtcarbonisiert, weder gekrempelt noch gekämmt
5;510129000080;5101.29;-- Las demás;Degreased wool, non-carbonised, neither carded nor combed (excl. shorn wool);Laines dégraissées, non-carbonisées ni cardées ni peignées (à l'excl. des laines de tonte);Wolle, entschweißt, nichtcarbonisiert, weder gekrempelt noch gekämmt (ausg. Schurwolle)
4;510130000080;5101.30;- Carbonizada;Carbonised wool, neither carded nor combed;Laines carbonisées, non-cardées ni peignées;Wolle, carbonisiert, weder gekrempelt noch gekämmt
3;510200000080;51.02; Pelo fino u ordinario, sin cardar ni peinar;Fine or coarse animal hair, neither carded nor combed (excl. wool, hair and bristles used in the manufacture of brooms and brushes, and horsehair from the mane or tail);Poils fins ou grossiers, non-cardés ni peignés (à l'excl. de la laine, des poils et soies de brosserie ainsi que des crins [poils de la crinière ou de la queue]);Tierhaare, fein oder grob, weder gekrempelt noch gekämmt (ausg. Wolle, Haare und Borsten zum Herstellen von Besen, Bürsten oder Pinseln sowie Rosshaar [aus der Mähne oder dem Schweif])
4;510211000010;;- Pelo fino;;;
5;510211000080;5102.11;-- De cabra de Cachemira;"Hair of Kashmir ""cashmere"" goats, neither carded nor combed";Poils de chèvre du Cachemire, non-cardés ni peignés;"Kaschmirziegenhaare ""cashmere"", weder gekrempelt noch gekämmt"
